"","group","Nspp","Supporting_edge_length","Nearest_neighbour_node_distance","Descendent_edge_length"
"1378","Microtus agrestis|Microtus cabrerae",2,0.00163290026838943,0.00593781915777973,0.0277593045626202
"1379","Microtus agrestis",1,0.0130632021471154,0.0261264042942308,0
"1380","Microtus cabrerae",1,0.0130632021471154,0.0261264042942308,0
"1381","Microtus fortis|Microtus hyperboreus|Microtus evoronensis|Microtus maximowiczii|Microtus mujanensis|Microtus middendorffi|Microtus mongolicus|Microtus sachalinensis",8,0.0043049188893903,0.00593781915777973,0.0676911383986889
"1382","Microtus fortis",1,0.0103911835261145,0.0207823670522291,0
"1383","Microtus hyperboreus",1,0.0103911835261145,0.0207823670522291,0
"1384","Microtus evoronensis|Microtus maximowiczii|Microtus mujanensis",3,0.00385958245255682,0.0142507659786714,0.0234543856732299
"1385","Microtus evoronensis",1,0.0065316010735577,0.0130632021471154,0
"1386","Microtus maximowiczii",1,0.0065316010735577,0.0130632021471154,0
"1387","Microtus mujanensis",1,0.0065316010735577,0.0130632021471154,0
"1388","Microtus middendorffi|Microtus mongolicus|Microtus sachalinensis",3,0.00385958245255682,0.0142507659786714,0.0234543856732299
"1389","Microtus middendorffi",1,0.0065316010735577,0.0130632021471154,0
"1390","Microtus mongolicus",1,0.0065316010735577,0.0130632021471154,0
"1391","Microtus sachalinensis",1,0.0065316010735577,0.0130632021471154,0
"1392","Microtus chrotorrhinus|Microtus richardsoni|Microtus xanthognathus",3,0.00252357314205639,0.00415647341044581,0.0371113697361233
"1393","Microtus chrotorrhinus",1,0.0121725292734484,0.0141023204997269,0
"1394","Microtus richardsoni|Microtus xanthognathus",2,0.00192979122627841,0.0141023204997269,0.0224152673206185
"1395","Microtus richardsoni",1,0.01024273804717,0.0204854760943401,0
"1396","Microtus xanthognathus",1,0.01024273804717,0.0204854760943401,0
"1397","Microtus guatemalensis",1,0.0146961024155048,0.0163290026838943,0
"1398","Microtus longicaudus",1,0.0146961024155048,0.0163290026838943,0
"1399","Microtus mexicanus",1,0.0146961024155048,0.0163290026838943,0
"1400","Microtus oaxacensis",1,0.0146961024155048,0.0163290026838943,0
"1401","Microtus arvalis|Microtus kermanensis|Microtus kirgisorum|Microtus obscurus|Microtus rossiaemeridionalis|Microtus transcaspicus|Microtus guentheri|Microtus irani|Microtus socialis",9,0.00519559176305726,0.00682849203144669,0.0617533192409092
"1402","Microtus arvalis|Microtus kermanensis|Microtus kirgisorum|Microtus obscurus|Microtus rossiaemeridionalis|Microtus transcaspicus",6,0.00311735505783436,0.00979740161033656,0.0414162886255136
"1403","Microtus arvalis",1,0.00638315559461321,0.0127663111892264,0
"1404","Microtus kermanensis",1,0.00638315559461321,0.0127663111892264,0
"1405","Microtus kirgisorum",1,0.00638315559461321,0.0127663111892264,0
"1406","Microtus obscurus",1,0.00638315559461321,0.0127663111892264,0
"1407","Microtus rossiaemeridionalis",1,0.00638315559461321,0.0127663111892264,0
"1408","Microtus transcaspicus",1,0.00638315559461321,0.0127663111892264,0
"1409","Microtus guentheri|Microtus irani|Microtus socialis",3,0.0066800465525022,0.00979740161033656,0.0151414388523383
"1410","Microtus guentheri",1,0.00282046409994537,0.00564092819989074,0
